Level,Tên thuật toán,Số bước di chuyển,Thời gian thực thi
LEVEL 1,DFS,17,0.001973300
LEVEL 1,UCS,17,0.001097600
LEVEL 1,IDS,17,0.004244100
LEVEL 1,Greedy,18,0.000405700
LEVEL 1,A*,18,0.000195742
LEVEL 1,IDA*,25,0.000188351
LEVEL 1,Simple hill climbing,25,0.000151200
LEVEL 1,Steepest ascent hill climbing,18,0.000153600
LEVEL 1,Stochastic hill climbing,20,0.000159264
LEVEL 1,Stimulated annealing,21,0.000241000
LEVEL 1,Beam search,17,0.000327500
LEVEL 2,BFS,17,0.005204400
LEVEL 2,DFS,17,0.002108200
LEVEL 2,UCS,17,0.003096800
LEVEL 2,IDS,17,0.006139600
LEVEL 2,Greedy,18,0.000679800
LEVEL 2,A*,18,0.000696300
LEVEL 2,IDA*,25,0.000592700
LEVEL 2,Simple hill climbing,25,0.000385100
LEVEL 2,Steepest ascent hill climbing,18,0.000141144
LEVEL 2,Stochastic hill climbing,21,0.000169516
LEVEL 2,Stimulated annealing,20,0.000389200
LEVEL 2,Beam search,17,0.000816800
LEVEL 3,BFS,17,0.003356300
LEVEL 3,DFS,17,0.001832400
LEVEL 3,UCS,17,0.001326200
LEVEL 3,IDS,17,0.004525600
LEVEL 3,Greedy,18,0.000462400
LEVEL 3,A*,18,0.000221491
LEVEL 3,IDA*,25,0.000516700
LEVEL 3,Simple hill climbing,24,0.000460300
LEVEL 3,Steepest ascent hill climbing,18,0.000402900
LEVEL 3,Stochastic hill climbing,19,0.000418400
LEVEL 3,Stimulated annealing,21,0.000454800
LEVEL 3,Beam search,18,0.000644600
LEVEL 4,BFS,17,0.003241400
LEVEL 4,DFS,17,0.002400000
LEVEL 4,UCS,17,0.001624600
LEVEL 4,IDS,17,0.004936400
LEVEL 4,Greedy,18,0.000293900
LEVEL 4,A*,18,0.000328900
LEVEL 4,IDA*,25,0.000575100
LEVEL 4,Simple hill climbing,0,0
LEVEL 4,Steepest ascent hill climbing,0,00
LEVEL 4,Stochastic hill climbing,0,0
LEVEL 4,Stimulated annealing,11,0.000124454
LEVEL 4,Beam search,18,0.000373100
